Model,Params,Top-1 Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Best Val Top-1,Best Epoch,Training Time (s)
mobilenet_v3_large,4213561,0.8402282453637661,0.824766338103822,0.794806040714647,0.7973921657531371,0.8367259316663718,0.846964955329895,5,1011.2565160930008
vit_tiny,5526153,0.8265335235378032,0.7671890037618525,0.865549311156411,0.8032434503206477,0.831900855978061,0.8233115077018738,7,1203.4496703280001
efficientnet_b0,4019077,0.818830242510699,0.7506015759323368,0.8800621684788477,0.801072734325017,0.8233788465744571,0.820746660232544,6,1044.2268270799996
